quoteText,bookTitle,bookAuthor,tags
There was never a single trunk population in the human past. It has been mixtures all the way down.,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"The extraordinary fact that emerges from ancient DNA is that just five thousand years ago, the people who are now the primary ancestors of all extant northern Europeans had not yet arrived.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"We geneticists may be the barbarians coming late to the study of the human past, but it is always a bad idea to ignore barbarians.",Who We Are and How We Got Here: Ancient DNA and the new science of the human past,David Reich,[]
"Seventy thousand years ago, the world was populated by very diverse human forms, and we have genomes from an increasing number of them, allowing us to peer back to a time when humanity was much more variable than it is today.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"The genome revolution has shown that we are not living in particularly special times when viewed from the perspective of the great sweep of the human past. Mixtures of highly divergent groups have happened time and again, homogenizing populations just as divergent from one another as Europeans, Africans, and Native Americans.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"Prior to the genome revolution, I, like most others, had assumed that the big genetic clusters of populations we see today reflect the deep splits of the past. But in fact the big clusters today are themselves the result of mixtures of very different populations that existed earlier.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"So how much Neanderthal ancestry do people outside of Africa carry today? We found that non-African genomes today are around 1.5 to 2.1 percent Neanderthal in origin,24 with the higher numbers in East Asians and the lower numbers in Europeans, despite the fact that Europe was the homeland of the Neanderthals.",Who We Are and How We Got Here: Ancient DNA and the new science of the human past,David Reich,[]
"As a society we should commit to according everyone equal rights despite the differences that exist among individuals. If we aspire to treat all individuals with respect regardless of the extraordinary differences that exist among individuals within a population, it should not be so much more of an effort to accommodate the smaller but still significant average differences across populations.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"Ten generations back, for example, the number of ancestral stretches of DNA is around 757 but the number of ancestors is 1,024, guaranteeing that each person has several hundred ancestors from whom he or she has received no DNA whatsoever.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"So how much Neanderthal ancestry do people outside of Africa carry today? We found that non-African genomes today are around 1.5 to 2.1 percent Neanderthal in origin,24 with the higher numbers in East Asians and the lower numbers in Europeans, despite the fact that Europe was the homeland of the Neanderthals.25 We now know that at least part of the explanation is dilution. Ancient DNA from Europeans who lived before nine thousand years ago shows that pre-farming Europeans had just as much Neanderthal ancestry as East Asians do today.26 The reduction in Neanderthal ancestry in present-day Europeans is due to the fact that they harbor some of their ancestry from a group of people who separated from all other non-Africans prior to the mixture with Neanderthals (the story of this early-splitting group revealed by ancient DNA is told in part II of this book). The spread of farmers with this inheritance diluted the Neanderthal ancestry in Europe, but not in East Asia.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"the multidimensionality of human traits, the great variation that exists among individuals, and the extent to which hard work and upbringing can compensate for genetic endowment, the only sensible approach is to celebrate every person and every population as an extraordinary realization of our human genius and to give each person every chance to succeed, regardless of the particular average combination of genetic propensities he or she happens to display. For me, the natural response to the",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"a result, the most efficient way for evolutionary forces to spread beneficial mutations has often been to invent mutations anew rather than to import them from other populations.44 The limited migration rates between some regions of Africa over the last few thousand years has resulted in what Ralph and Coop have described as a “tessellated” pattern of population structure in Africa. Tessellation is a mathematical term for a landscape of tiles—regions of genetic homogeneity demarcated by sharp boundaries—that is expected to form when the process of homogenization due to gene exchanges among neighbors competes with the process of generating new advantageous variations in each region.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"Constant effort to struggle against our demons—against the social and behavioral habits that are built into our biology—is one of the ennobling behaviors of which we humans as a species are capable, and which has been critical to many of our triumphs and achievements",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"But “ancestry” is not a euphemism, nor is it synonymous with “race.” Instead, the term is born of an urgent need to come up with a precise language to discuss genetic differences among people at a time when scientific developments have finally provided the tools to detect them.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
The right way to deal with the inevitable discovery of substantial differences across populations is to realize that their existence should not affect the way we conduct ourselves. As a society we should commit to according everyone equal rights despite the differences that exist among individuals,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"A great surprise that emerges from the genome revolution is that in the relatively recent past, human populations were just as different from each other as they are today, but that the fault lines across populations were almost unrecognizably different from today.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"Tracing back fifty thousand years in the past, our genome is scattered into more than one hundred thousand ancestral stretches of DNA, greater than the number of people who lived in any population at that time, so we inherit DNA from nearly everyone in our ancestral population who had a substantial number of offspring at times that remote in the past.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"Could languages long extinct be recalled by unsealing a cave still reverberating with the echoes of words spoken there thousands of years ago? Today, ancient DNA is enabling this kind of detailed reconstruction of deep relationships among ancient human populations.",Who We Are and How We Got Here: Ancient DNA and the new science of the human past,David Reich,[]
We are now producing data so fast that the time lag between data production and publication is longer than the time it takes to double the data in the field.,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,"['anthropology', 'dna', 'genetics']"
"Africa and the Near East had an effect akin to the erasing of a blackboard, creating a blank slate for the new people.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"If the ancient DNA studies of the last few years have shown anything clearly, it is that the geographic distribution of people living today is often misleading about the dwelling places of their ancestors.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"we need to try to make progress beyond the situation we are facing right now, in which many researchers are reluctant to undertake any studies of Native American genetic variation for fear of criticism, and because of the extraordinary time commitment that would be required",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"A concern is that when members of groups are directly engaged in scientific investigation of their own history, people’s wish that certain things should be true often colors presentation of the findings.",Who We Are and How We Got Here: Ancient DNA and the new science of the human past,David Reich,[]
"once. But most of the present-day population structure of Africa is shaped by the agricultural expansions of the past few thousand years, and so focusing on describing Africa’s mesmerizing diversity paradoxically does the project of understanding the big picture of humans in Africa a disservice just as much as focusing on the common origins of all modern humans in Africa does Africa a disservice. We need to stop focusing on describing the veil and instead rip it away, and for this we need ancient DNA.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"Today there is an intricate caste system that shapes the lives of many people within Ethiopia, with elaborate rules preventing marriage between groups with different traditional roles.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
So it is absolutely clear that modern humans arrived in East Asia and Australia around the same time as they came to Europe.,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"Evidence of early modern humans outside of Africa well before fifty thousand years ago includes the morphologically modern skeletons in Skhul and Qafzeh in present-day Israel that date to between around 130,000 to 100,000 years ago.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
The Yamnaya—who the genetic data show were closely related to the source of the steppe ancestry in both India and Europe—are obvious candidates for spreading Indo-European languages to both these subcontinents of Eurasia.,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
the single most important source of ancestry across northern Europe today is the Yamnaya or groups closely related to them.,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"He acknowledged that the reliance on racial and ethnic categories is useful given our poor present knowledge, but predicted that the future will involve testing individuals directly for what mutations they have, and doing away altogether with racial classification as a basis for making individualized decisions about care.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
The association between steppe genetic ancestry and people assigned to the Corded Ware archaeological culture through graves and artifacts is not simply a hypothesis. It is now a proven fact.,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"But studies of pollen records in Denmark and elsewhere show that around this time, large parts of northern Europe were transformed from partial forest to grasslands, suggesting that the Corded Ware newcomers may have cut down forests, reengineered parts of the landscape to be more like the steppe, and carved out a niche for themselves that previous peoples of the region had never fully claimed.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"Whether the original Indo-European speakers lived in the Near East or in eastern Europe, the Yamnaya, who were the main group responsible for spreading Indo-European languages across a vast span of the globe, were formed by mixture",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,[]
"After a grenade explosion in a room, could the exact position of each object prior to the explosion be reconstructed by piecing together the scattered remains and studying the shrapnel in the wall?",Who We Are and How We Got Here: Ancient DNA and the new science of the human past,David Reich,[]
"Human history is full of dead ends, and we should not expect the people who lived in any one place in the past to be the direct ancestors of those who live there today.",Who We Are and How We Got Here: Ancient DNA and the new science of the human past,David Reich,[]
