quoteText,bookTitle,bookAuthor,tags
You cannot overestimate the unimportance of practically everything.,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
"What if we stopped celebrating being busy as a measurement of importance? What if instead we celebrated how much time we had spent listening, pondering, meditating, and enjoying time with the most important people in our lives?",Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
The word priority came into the English language in the 1400s. It was singular. It meant the very first or prior thing. It stayed singular for the next five hundred years.,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
"Essentialists see trade-offs as an inherent part of life, not as an inherently negative part of life. Instead of asking, “What do I have to give up?” they ask, “What do I want to go big on?",Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
"There should be no shame in admitting to a mistake; after all, we really are only admitting that we are now wiser than we once were.",Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
"Today, technology has lowered the barrier for others to share their opinion about what we should be focusing on. It is not just information overload; it is opinion overload.",Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
Sometimes what you don’t do is just as important as what you do.,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
"We overvalue nonessentials like a nicer car or house, or even intangibles like the number of our followers on Twitter or the way we look in our Facebook photos. As a result, we neglect activities that are truly essential, like spending time with our loved ones, or nurturing our spirit, or taking care of our health.",Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
"The way of the Essentialist means living by design, not by default. Instead of making choices reactively, the Essentialist deliberately distinguishes the vital few from the trivial many, eliminates the nonessentials, and then removes obstacles so the essential things have clear, smooth passage. In other words, Essentialism is a disciplined, systematic approach for determining where our highest point of contribution lies, then making execution of those things almost effortless.",Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
Just because I was invited didn’t seem a good enough reason to attend.,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
What do I feel deeply inspired by?” and “What am I particularly talented at?” and “What meets a significant need in the world?,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,[]
