quoteText,bookTitle,bookAuthor,tags
"We are, as a species, addicted to story. Even when the body goes to sleep, the mind stays up all night, telling itself stories.",The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,[]
"The storytelling mind is allergic to uncertainty, randomness, and coincidence. It is addicted to meaning. If the storytelling mind cannot find meaningful patterns in the world, it will try to impose them. In short, the storytelling mind is a factory that churns out true stories when it can, but will manufacture lies when it can’t.",The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,[]
"Memories are often pruned and shaped by an ego-enhancing bias that blurs the edges of past events, softens culpability, and distorts what really happened.",The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,[]
"There is a paradox in fiction that was first noticed by Aristotle in the Poetics. We are drawn to fiction because fiction gives us pleasure. But most of what is actually in fiction is deeply unpleasant: threat, death, despair, anxiety, Sturm und Drang.",The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,[]
"Literature offers feelings for which we don’t have to pay. It allows us to love, condemn, condone, hope, dread, and hate without any of the risks those feelings ordinarily involve.",The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,[]
"Commentators frequently blame MMORPGs for an increasing sense of isolation in modern life. But virtual worlds are less a cause of that isolation than a response to it. Virtual worlds give back what has been scooped out of modern life. The virtual world is in important ways more authentically human than the real world. It gives us back community, a feeling of competence, and a sense of being an important person whom people depend on.",The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,"['fiction', 'gaming', 'stories', 'virtual-reality']"
"As the video game designer and writer James Wallis puts it, “Human beings like stories. Our brains have a natural affinity not only for enjoying narratives and learning from them but also for creating them. In the same way that your mind sees an abstract pattern and resolves it into a face, your imagination sees a pattern of events and resolves it into a story.",The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,[]
"fiction writers are fully ten times more likely to be bipolar than the general population, and poets are an amazing forty times more likely to struggle with the disorder. Based on statistics like these, psychologist Daniel Nettle writes, “It is hard to avoid the conclusion that most of the canon of Western culture was produced by people with a touch of madness.” Essayist Brooke Allen does Nettle one better: “The Western literary tradition, it seems, has been dominated by a sorry collection of alcoholics, compulsive gamblers, manic-depressives, sexual predators, and various unfortunate combinations of two, three, or even all of the above.",The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,[]
"Like Tom Sawyer whitewashing the fence, authors trick readers into doing most of the imaginative work.",The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,[]
"When we read nonfiction, we read with our shields up. We are critical and skeptical. But when we are absorbed in a story, we drop our intellectual guard. We are moved emotionally, and this seems to leave us defenseless.",The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,[]
