quoteText,bookTitle,bookAuthor,tags
The business of business is a lot of little decisions every day mixed up with a few big decisions.,The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike,[]
"Basically, CEOs have five essential choices for deploying capital—investing in existing operations, acquiring other businesses, issuing dividends, paying down debt, or repurchasing stock—and three alternatives for raising it—tapping internal cash flow, issuing debt, or raising equity. Think of these options collectively as a tool kit. Over the long term, returns for shareholders will be determined largely by the decisions a CEO makes in choosing which tools to use (and which to avoid) among these various options. Stated simply, two companies with identical operating results and different approaches to allocating capital will derive two very different long-term outcomes for shareholders.",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,[]
"There is a fundamental humility to decentralization, an admission that headquarters does not have all the answers and that much of the real value is created by local managers in the field.",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike,[]
"Should you find yourself in a chronically leaking boat, energy devoted to changing vessels is likely to be more productive than energy devoted to patching leaks. —Warren Buffett",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,[]
"You are right not because others agree with you, but because your facts and reasoning are sound. —Benjamin Graham",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike,[]
"The lessons of these iconoclastic CEOs suggest a new, more nuanced conception of the chief executive’s job, with less emphasis placed on charismatic leadership and more on careful deployment of firm resources.",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,[]
"If you think of capital allocation more broadly as resource allocation and include the deployment of human resources, you find again that Singleton had a highly differentiated approach. Specifically, he believed in an extreme form of organizational decentralization with a wafer-thin corporate staff at headquarters and operational responsibility and authority concentrated in the general managers of the business units. This was very different from the approach of his peers, who typically had elaborate headquarters staffs replete with vice presidents and MBAs.",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,[]
"After orbiting the moon, mundane business problems did not faze him.",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike,[]
There are two basic types of resources that any CEO needs to allocate: financial and human.,The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,[]
Decentralization is the cornerstone of our philosophy. Our goal is to hire the best people we can and give them the responsibility and authority they need to perform their jobs. All decisions are made at the local level. . . . We expect our managers . . . to be forever cost conscious and to recognize and exploit sales potential.,The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,[]
The system in place corrupts you with so much autonomy and authority that you can’t imagine leaving.,The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,[]
"What makes him a leader is precisely that he is able to think things through for himself. —William Deresiewicz, lecture to West Point plebe class, October 2009",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,[]
need to know three things to evaluate a CEO’s greatness: the compound annual return to shareholders during his or her tenure and the return over the same period for peer companies and for the broader market (usually measured by the S&P 500).,The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike,[]
It is impossible to produce superior performance unless you do something different. —John Templeton,The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike,[]
"There is a fundamental humility to decentralization, an admission that headquarters does not have all the answers",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike,[]
hire the best people you can and leave them alone.,The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike,[]
"Basically, CEOs have five essential choices for deploying capital—investing in existing operations, acquiring other businesses, issuing dividends, paying down debt, or repurchasing stock—and three alternatives for raising it—tapping internal cash flow, issuing debt, or raising equity.",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,[]
"It’s remarkable how much value can be created by a small group of really talented people. —David Wargo, Putnam Investments",The Outsiders: Eight Unconventional Ceos and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,[]
