quoteText,bookTitle,bookAuthor,tags
"In my whole life, I have known no wise people (over a broad subject matter area) who didn't read all the time -- none, zero. You'd be amazed at how much Warren reads--and at how much I read. My children laugh at me. They think I'm a book with a couple of legs sticking out.",Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"['reading-books', 'reading-habits', 'wisdom-of-winners']"
"Spend each day trying to be a little wiser than you were when you woke up. Day by day, and at the end of the day-if you live long enough-like most people, you will get out of life what you deserve.",Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,['everything']
How to find a good spouse?,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"['love', 'married-life', 'spouse']"
There is no better teacher than history in determining the future... There are answers worth billions of dollars in 30$ history book.,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"['business', 'health', 'life', 'success', 'the-future', 'wealth']"
Acquire worldly wisdom and adjust your behavior accordingly. If your new behavior gives you a little temporary unpopularity with your peer group…then to hell with them.,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,['wisdom']
It takes character to sit with all that cash and to do nothing.,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,[]
What are the secret of success?,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,['success']
The best armour of old age is a well spent life perfecting it.,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,['life']
"In my whole life, I have known no wise people (over a board subject matter area) who didn't read all the time - none, zero. You'd be amazed how much Warren reads - and at how much I read. My children laugh at me. They think I'm a book with a couple of legs sticking out.",Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,['wise-life']
The best armour of old age is a well spent life preceding it.,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,['life']
"I think that, every time you see the word EBITDA, you should substitute the words ""bullshit earnings.",Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,[]
It's the work on your desk. Do well with what you already have and more will come in.,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,[]
"The reason we avoid the word ""synergy"" is because people generally claim more synergistic benefits than will come. Yes, it exists, but there are so many false promises. Berkshire is full of synergies - we don't avoid synergies, just claims of synergies.",Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,[]
"It's not the bad ideas that do you in, it’s the good ideas. And you may say, 'That can't be so. That's paradoxical. What he [Graham] meant was that if a thing is a bad idea, it’s hard to overdo. But where there is a good idea with a core of essential and important truth, you can’t ignore it. And then it's so easy to overdo it. So the good ideas are a wonderful way to suffer terribly if you overdo them",Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,[]
"I have been associated for many years with a man legendary for good judgment, and it never ceases to amaze me to see how much territory can be grasped if one merely masters and consistently uses all the obvious and easily learned principles.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"We try more to profit from always remembering the obvious than from grasping the esoteric. It is remarkable how much long-term advantage people like us have gotten by trying to be consistently not stupid, instead of trying to be very intelligent.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"The reason we avoid the word ""synergy"" is because people generally claim more synergistic benefits than will come. Yes, it exists, but there are so many false promises.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"so.I'm glad we have insurance, though it's not a no-brainer, I'm warning you. We have to be smart to make this work. The overall result is that we're going to do pretty well-meaning in the top ten percent [of the industry]- because we do different things and we're willing to do some unpleasant things.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"One of the key elements to successful investing is having the right] temperament-most people are too fretful; they worry too much. Success means being very patient, but aggressive when it's time.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"Our investment style has been given a name-focus investing-which implies ten holdings, not one hundred or four hundred. The idea that it is hard to find good investments. So concentrate in a few, seems to me to be an obviously good idea. But ninety-eight percent of the investment world doesn't think this way. It's been good for us-and you-that we've done this.What's funny is that most big investment organizations don't think like this. They hire lots of people, evaluate Merck vs. Pfizer and every stock in the S&P 500, and think they can beat the market. You can't do it.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"me.The elementary part of psychology-the psychology of misjudgment, as I call it-is a terribly important thing to learn. There are about twenty little principles. And the interact. So it gets slightly complicated. But the guts of it is unbelievably important. Very smart people make totally bonkers mistakes by failing to pay heed to it. In fact, I've done it several times during the last two or three years in a very important way. You never get totally over making silly mistakes. 'I- here's another saying that comes from Pascal that I've always considered one of the: really accurate observations in the history of thought. Pascal said, ""The mind of man at one and the same time is both the glory and the shame of the universe.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"I've gotten so that I now use a kind of two-track analysis. First, what are the factors that really govern the interests involved, rationally considered? And second, what are the subconscious influences where the brain at a subconscious level is automatically doing these things-which, by and large, are useful but which often misfunction?","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"CBS provides an interesting example of another rule of psychology-namely, Pavlovian association. If people tell you what you really don't want to hear-what's unpleasant-there is an almost automatic reaction of antipathy. You have to train yourself out of it. It isn't foredestined that you have to be this way. But you will tend to be this way if you don't think about it.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
Two-thirds of acquisitions don't work. Ours work because we don't try to do acquisitions-we wait for no-brainers.,"Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"Slug it out one inch at a time, day by day. At the end of the day-if you live long enough-most people get what they deserve.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"A poet, philosopher, rhetorician, and humorist, Cicero was also one of Rome's great orators. Cicero viewed public service to be a Roman citizen’s highest duty. He defended those unjustly accused by dictatorial leaders and brought down corrupt governments.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
Johnson spoke well when he said that life is hard enough to swallow without squeezing in the bitter rind of resentment.,"Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"Experience keeps a dear school, but fools will learn in no other and scarce in that; for it is true, we may give advice, but we cannot give conduct","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"If my experience is any guide, the rustic's approach is to be avoided at all cost by someone bent on misery. To help fail, you should discount as mere quirk, with no useful message, the method of the rustic, which is the same one used in Carson's speech.What Carson did was to approach the study of how to create X by turning the question backward, that is, by studying how to create non-X.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"Endowment.Darwin's result was due in large measure to his working method, which violated all my rules for misery and particularly emphasized a backward twist in that he always gave priority attention to evidence tending to disconfirm whatever cherished and hard-won theory he already had.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"Einstein said that his successful theories came from ""Curiosity, concentration, perseverance, and self-criticism."" And by self -criticism, he meant the testing and destruction of his own well-loved ideas.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"idea.If anything, I now believe even more strongly that (1) reliability is essential for progress in life and (2) while quantum mechanics is unlearnable for a vast majority, reliability can be learned","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"What I say is that McDonald's is one of our most admirable institutions. Then, as signs of shock come to surrounding faces, I explain that McDonald's, providing first jobs to millions of teenagers, many troubled, over the years, has successfully taught most of them the one lesson they most need: to show up reliably for responsible work. Then I usually go on to say that if the elite campuses were as successful as McDonald's in teaching sensibly, we would have a better world.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"What is elementary, worldly wisdom? Well, the first rule is that you can't really know anything if you just remember isolated facts and try and bang 'em back. If the facts don't hang together on a latticework of theory, you don't have them in a usable Form.You've got to have models in your head.","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"If you don't get this elementary but mildly unnatural, mathematics of elementary probability into your repertoire, then you go through a long life like a one-legged man in an ass-kicking contest","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
"combinations.Obviously, you have to know accounting. It's the language of practical business life. It was a very useful thing to deliver to civilization. I've heard it came to civilization through Venice, which, of course, was once the great commercial power in the Mediterranean. However, double-entry bookkeeping was a hell of an invention.And it's not that hard to understand. But you have to know enough about it to understand its limitations-because although accounting is the starting place, it's only a crude approximation","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,[]
