quoteText,bookTitle,bookAuthor,tags
"A reliable way to make people believe in falsehoods is frequent repetition, because familiarity is not easily distinguished from truth. Authoritarian institutions and marketers have always known this fact.","Thinking, Fast and Slow",Daniel Kahneman,"['psychology', 'science', 'social-behavior']"
"Nothing in life is as important as you think it is, while you are thinking about it","Thinking, Fast and Slow",Daniel Kahneman,['focusing-illusion']
Our comforting conviction that the world makes sense rests on a secure foundation: our almost unlimited ability to ignore our ignorance.,"Thinking, Fast and Slow",Daniel Kahneman,[]
"If you care about being thought credible and intelligent, do not use complex language where simpler language will do.","Thinking, Fast and Slow",Daniel Kahneman,[]
Intelligence is not only the ability to reason; it is also the ability to find relevant material in memory and to deploy attention when needed.,"Thinking, Fast and Slow",Daniel Kahneman,[]
"The psychologist, Paul Rozin, an expert on disgust, observed that a single cockroach will completely wreck the appeal of a bowl of cherries, but a cherry will do nothing at all for a bowl of cockroaches.","Thinking, Fast and Slow",Daniel Kahneman,[]
The idea that the future is unpredictable is undermined every day by the ease with which the past is explained.,"Thinking, Fast and Slow",Daniel Kahneman,"['future', 'prediction', 'psychology']"
"Odd as it may seem, I am my remembering self, and the experiencing self, who does my living, is like a stranger to me.","Thinking, Fast and Slow",Daniel Kahneman,"['experience', 'memory', 'reflection', 'self']"
"This is the essence of intuitive heuristics: when faced with a difficult question, we often answer an easier one instead, usually without noticing the substitution.","Thinking, Fast and Slow",Daniel Kahneman,[]
We are prone to overestimate how much we understand about the world and to underestimate the role of chance in events.,"Thinking, Fast and Slow",Daniel Kahneman,[]
A general “law of least effort” applies to cognitive as well as physical,"Thinking, Fast and Slow",Daniel Kahneman,[]
"The confidence that individuals have in their beliefs depends mostly on the quality of the story they can tell about what they see, even if they see little.","Thinking, Fast and Slow",Daniel Kahneman,[]
"we can be blind to the obvious, and we are also blind to our blindness.","Thinking, Fast and Slow",Daniel Kahneman,[]
"I have always believed that scientific research is another domain where a form of optimism is essential to success: I have yet to meet a successful scientist who lacks the ability to exaggerate the importance of what he or she is doing, and I believe that someone who lacks a delusional sense of significance will wilt in the face of repeated experiences of multiple small failures and rare successes, the fate of most researchers.","Thinking, Fast and Slow",Daniel Kahneman,[]
"A reliable way of making people believe in falsehoods is frequent repetition, because familiarity is not easily distinguished from truth.","Thinking, Fast and Slow",Daniel Kahneman,[]
The world makes much less sense than you think. The coherence comes mostly from the way your mind works.,"Thinking, Fast and Slow",Daniel Kahneman,"['mind', 'psychology']"
The easiest way to increase happiness is to control your use of time. Can you find more time to do the things you enjoy doing?,"Thinking, Fast and Slow",Daniel Kahneman,[]
You are more likely to learn something by finding surprises in your own behavior than by hearing surprising facts about people in general.,"Thinking, Fast and Slow",Daniel Kahneman,['behavioral-psychology']
"Mood evidently affects the operation of System 1: when we are uncomfortable and unhappy, we lose touch with our intuition.","Thinking, Fast and Slow",Daniel Kahneman,"['creativity', 'gullibility', 'mood', 'rationality']"
Familiarity breeds liking.,"Thinking, Fast and Slow",Daniel Kahneman,[]
The illusion that we understand the past fosters overconfidence in our ability to predict the future.,"Thinking, Fast and Slow",Daniel Kahneman,[]
"Confidence is a feeling, which reflects the coherence of the information and the cognitive ease of processing it. It is wise to take admissions of uncertainty seriously, but declarations of high confidence mainly tell you that an individual has constructed a coherent story in his mind, not necessarily that the story is true.","Thinking, Fast and Slow",Daniel Kahneman,[]
"The test of learning psychology is whether your understanding of situations you encounter has changed, not whether you have learned a new fact.","Thinking, Fast and Slow",Daniel Kahneman,['psychology']
Nothing in life is as important as you think it is when you are thinking about it.,"Thinking, Fast and Slow",Daniel Kahneman,"['biases', 'focus', 'focusing-illusion', 'heuristics', 'importance', 'priorities', 'thinking']"
"acquisition of skills requires a regular environment, an adequate opportunity to practice, and rapid and unequivocal feedback about the correctness of thoughts and actions.","Thinking, Fast and Slow",Daniel Kahneman,[]
People tend to assess the relative importance of,"Thinking, Fast and Slow",Daniel Kahneman,[]
"Because we tend to be nice to other people when they please us and nasty when they do not, we are statistically punished for being nice and rewarded for being nasty.","Thinking, Fast and Slow",Daniel Kahneman,[]
The premise of this book is that it is easier to recognize other people’s mistakes than our own.,"Thinking, Fast and Slow",Daniel Kahneman,[]
"We focus on our goal, anchor on our plan, and neglect relevant base rates, exposing ourselves to the planning fallacy. We focus on what we want to do and can do, neglecting the plans and skills of others. Both in explaining the past and in predicting the future, we focus on the causal role of skill and neglect the role of luck. We are therefore prone to an illusion of control. We focus on what we know and neglect what we do not know, which makes us overly confident in our beliefs.","Thinking, Fast and Slow",Daniel Kahneman,[]
We are prone to blame decision makers for good decisions that worked out badly and to give them too little credit for successful moves that appear obvious only after the fact.,"Thinking, Fast and Slow",Daniel Kahneman,[]
"when people believe a conclusion is true, they are also very likely to believe arguments that appear to support it, even when these arguments are unsound.","Thinking, Fast and Slow",Daniel Kahneman,[]
