quoteText,bookTitle,bookAuthor,tags
"History followed different courses for different peoples because of differences among peoples' environments, not because of biological differences among peoples themselves","Guns, Germs and Steel: The Fates of Human Societies",Jared Diamond,[]
"In short, Europe’s colonization of Africa had nothing to do with differences between European and African peoples themselves, as white racists assume. Rather, it was due to accidents of geography and biogeography—in particular, to the continents’ different areas, axes, and suites of wild plant and animal species. That is, the different historical trajectories of Africa and Europe stem ultimately from differences in real estate.","Guns, Germs and Steel: The Fates of Human Societies",Jared Diamond,[]
Much of human history has consisted of unequal conflicts between the haves and the have-nots.,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['conflicts', 'history', 'possession', 'war']"
"[W]hat makes patriotic and religious fanatics such dangerous opponents is not the deaths of the fanatics themselves, but their willingness to accept the deaths of a fraction of their number in order to annihilate or crush their infidel enemy.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['annihilation', 'death', 'fanaticism', 'radicalism', 'war']"
"With the rise of chiefdoms around 7,500 years ago, people had to learn, for the first time in history, how to encounter strangers regularly without attempting to kill them.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"Twelve thousand years ago, everybody on earth was a hunter-gatherer; now almost all of us are farmers or else are fed by farmers. The spread of farming from those few sites of origin usually did not occur as a result of the hunter-gatherers' elsewhere adopting farming; hunter-gatherers tend to be conservative.... Instead, farming spread mainly through farmers' outbreeding hunters, developing more potent technology, and then killing the hunters or driving them off of all lands suitable for agriculture.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['civilization', 'history']"
It's striking that Native Americans evolved no devastating epidemic diseases to give to Europeans in return for the many devastating epidemic diseases that Indians received from the Old World.,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['disease', 'epidemics', 'evolution', 'native-americans']"
"My two main conclusions are that technology develops cumulatively, rather than in isolated heroic acts, and that it finds most of its uses after it has been invented, rather than being invented to meet a foreseen need.","Guns, Germs, and Steel",Jared Diamond,[]
"We know from our recent history that English did not come to replace U.S. Indian languages merely because English sounded musical to Indians' ears. Instead, the replacement entailed English-speaking immigrants' killing most Indians by war, murder, and introduced diseases, and the surviving Indians' being pressured into adopting English, the new majority language.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,['english-language']
"Not until the beginning of the 20th century did Europe's urban populations finally become self-sustaining: before then, constant immigration of healthy peasants from the countryside was necessary to make up for the constant deaths of city dwellers from crowd diseases.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['civilization', 'disease', 'history']"
Rhino-mounted Bantu shock troops could have overthrown the Roman Empire. It never happened.,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,['history']
"The history of interactions among disparate peoples is what shaped the modern world through conquest, epidemics and genocide. Those collisions created reverberations that have still not died down after many centuries, and that are actively continuing in some of the world's most troubled areas.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['conquest', 'epidemics', 'genocide', 'history', 'interaction', 'peoples', 'war']"
"All human societies contain inventive people. It’s just that some environments provide more starting materials, and more favorable conditions for utilizing inventions, than do other environments.","Guns, Germs, and Steel",Jared Diamond,[]
It,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['educational', 'inspirational']"
"One way to explain the complexity and unpredictability of historical systems, despite their ultimate determinacy, is to note that long chains of causation may separate final effects from ultimate causes lying outside the domain of that field of science.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"Tolstoy meant that, in order to be happy, a marriage must succeed in many different respects: sexual attraction, agreement about money, child discipline, religion, in-laws, and other vital issues.","Guns, Germs, and Steel",Jared Diamond,[]
"Besides justifying the transfer of wealth to kleptocrats, institutionalized religion brings two other important benefits to centralized societies. First, shared ideology or religion helps solve the problem of how unrelated individuals are to live together without killing each other—by providing them with a bond not based on kinship. Second, it gives people a motive, other than genetic self-interest, for sacrificing their lives on behalf of others.","Guns, Germs And Steel",Jared Diamond,[]
"It invites a search for ultimate causes: why were Europeans, rather than Africans or Native Americans, the ones to end up with guns, the nastiest germs, and steel?","Guns, Germs, and Steel",Jared Diamond,[]
THE IMPORTANCE OF lethal microbes in human history is well illustrated by Europeans’ conquest and depopulation of the New World. Far more Native Americans died in bed from Eurasian germs than on the battlefield from European guns and swords. Those germs undermined Indian resistance by killing most Indians and their leaders and by sapping the survivors’ morale.,"Guns, Germs And Steel",Jared Diamond,[]
"Still another factor is compatibility with vested interests. This book, like probably every other typed document you have ever read, was typed with a QWERTY keyboard, named for the left-most six letters in its upper row. Unbelievable as it may now sound, that keyboard layout was designed in 1873 as a feat of anti-engineering. It employs a whole series of perverse tricks designed to force typists to type as slowly as possible, such as scattering the commonest letters over all keyboard rows and concentrating them on the left side (where right-handed people have to use their weaker hand). The reason behind all of those seemingly counterproductive features is that the typewriters of 1873 jammed if adjacent keys were struck in quick succession, so that manufacturers had to slow down typists. When improvements in typewriters eliminated the problem of jamming, trials in 1932 with an efficiently laid-out keyboard showed that it would let us double our typing speed and reduce our typing effort by 95 percent. But QWERTY keyboards were solidly entrenched by then. The vested interests of hundreds of millions of QWERTY typists, typing teachers, typewriter and computer salespeople, and manufacturers have crushed all moves toward keyboard efficiency for over 60 years.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"Every time that an animal eats a plant or another animal, the conversion of food biomass into the consumer’s biomass involves an efficiency of much less than 100 percent: typically around 10 percent. That is, it takes around 10,000 pounds of corn to grow a 1,000-pound cow. If instead you want to grow 1,000 pounds of carnivore, you have to feed it 10,000 pounds of herbivore grown on 100,000 pounds of corn. Even among herbivores and omnivores, many species, like koalas, are too finicky in their plant preferences to recommend themselves as farm animals. As a result of this fundamental inefficiency, no mammalian carnivore has ever been domesticated for food.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"In contrast, once food can be stockpiled, a political elite can gain control of food produced by others, assert the right of taxation, escape the need to feed itself, and engage full-time in political activities.","Guns, Germs, and Steel",Jared Diamond,[]
"Despite being depicted in innumerable cartoons as apelike brutes living in caves, Neanderthals had brains slightly larger than our own. They were also the first humans to leave behind strong evidence of burying their dead and caring for their sick.","Guns, Germs, and Steel",Jared Diamond,[]
The whole modern world has been shaped by lopsided outcomes.,"Guns, Germs, and Steel",Jared Diamond,[]
"When you have seen the errors in which you live, you will understand the good that we have done you by coming to your land by order of his Majesty the King of Spain. Our Lord permitted that your pride should be brought low and that no Indian should be able to offend a Christian.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,['conquest']
"Yes, world history is indeed such an onion!","Guns, Germs, and Steel",Jared Diamond,[]
"The difference between a kleptocrat and a wise statesman, between a robber baron and a public benefactor, is merely one of degree: a matter of just how large a percentage of the tribute extracted from producers is retained by the elite, and how much the commoners like the public uses to which the redistributed tribute is put.","Guns, Germs, and Steel",Jared Diamond,[]
"Thanks to this availability of suitable wild mammals and plants, early peoples of the Fertile Crescent could quickly assemble a potent and balanced biological package for intensive food production. That package comprised three cereals, as the main carbohydrate sources; four pulses, with 20—25 percent protein, and four domestic animals, as the main protein sources, supplemented by the generous protein content of wheat; and flax as a source of fiber and oil (termed linseed oil: flax seeds are about 40 percent oil). Eventually, thousands of years after the beginnings of animal domestication and food production, the animals also began to be used for milk, wool, plowing, and transport. Thus, the crops and animals of the Fertile Crescent's first farmers came to meet humanity's basic economic needs: carbohydrate, protein, fat, clothing, traction, and transport.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['civilization', 'history']"
"Still later, after the invention of saddles and stirrups, horses allowed the Huns and successive waves of other peoples from the Asian steppes to terrorize the Roman Empire and its successor states, culminating in the Mongol conquests of much of Asia and Russia in the 13th and 14th centuries A.D. Only with the introduction of trucks and tanks in World War I did horses finally become supplanted as the main assault vehicle and means of fast transport in war. Arabian and Bactrian camels played a similar military role within their geographic range. In all these examples, peoples with domestic horses (or camels), or with improved means of using them, enjoyed an enormous military advantage over those without them.","Guns, Germs, and Steel",Jared Diamond,[]
"Hunter-gatherer societies tend to be relatively egalitarian, to lack full-time bureaucrats and hereditary chiefs, and to have small-scale political organization at the level of the band or tribe. That’s because all able-bodied hunter-gatherers are obliged to devote much of their time to acquiring food.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"food production was indirectly a prerequisite for the development of guns, germs, and steel. Hence geographic variation in whether, or when, the peoples of different continents became farmers and herders explains to a large extent their subsequent contrasting fates.","Guns, Germs, and Steel",Jared Diamond,[]
"That is, natural selection promoting genes for intelligence has probably been far more ruthless in New Guinea than in more densely populated, politically complex societies, where natural selection for body chemistry was instead more potent. Besides","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"Perhaps the most important single step in the whole history of writing was the Sumerians’ introduction of phonetic representation, initially by writing an abstract noun (which could not be readily drawn as a picture) by means of the sign for a depictable noun that had the same phonetic pronunciation. For instance, it’s easy to draw a recognizable picture of arrow, hard to draw a recognizable picture of life, but both are pronounced ti in Sumerian, so a picture of an arrow came to mean either arrow or life. The resulting ambiguity was resolved by the addition of a silent sign called a determinative, to indicate the category of nouns to which the intended object belonged. Linguists term this decisive innovation, which also underlies puns today, the rebus principle.","Guns, Germs, and Steel",Jared Diamond,[]
"Pizarro captured Atahuallpa within a few minutes after the two leaders first set eyes on each other. Pizarro proceeded to hold his prisoner for eight months, while extracting history’s largest ransom in return for a promise to free him. After the ransom—enough gold to fill a room 22 feet long by 17 feet wide to a height of over 8 feet—was delivered, Pizarro reneged on his promise and executed Atahuallpa.","Guns, Germs, and Steel",Jared Diamond,[]
"A suitable starting point from which to compare historical developments on the different continents is around 11,000 B.C.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['first-lines', 'opening-lines']"
"(4) Modern capitalism is, and the ancient Roman economy was not, organized in a way that made it potentially rewarding to invest capital in technological development. (5) The strong individualism of U.S. society allows successful inventors to keep earnings for themselves, whereas strong family ties in New Guinea ensure that someone who begins to earn money will be joined by a dozen relatives expecting to move in and be fed and supported.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"Thus, Fertile Crescent and eastern Mediterranean societies had the misfortune to arise in an ecologically fragile environment. They committed ecological suicide by destroying their own resource base.","Guns, Germs, and Steel",Jared Diamond,[]
"For any ranked society, whether a chiefdom or a state, one thus has to ask, why do the commoners tolerate the transfer of the fruits of their hard labor to kleptocrats? This question raised by political theorists from Plato to Marx are raised anew by voters in every modern election. Kleptocracies with little public support run the risk of being overthrown, either by downtrodden commoners, or by upstart would be replacement kleptocrats seeking public support by promising a higher ratio of services rendered to fruits stolen.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['political', 'taxes']"
"Naturally, what makes patriotic and religious fanatics such dangerous opponents is not the deaths of the fanatics themselves, but their willingness to accept the deaths of a fraction of their number in order to annihilate or crush their infidel enemy.","Guns, Germs And Steel",Jared Diamond,[]
"...invokes the supposed stimulatory effects of their homeland's cold climate and the inhibitory effects of hot, humid, tropical climates on human creativity and energy. Perhaps the seasonally variable climate at hight latitudes poses more diverses challenges that does a seasonally constant tropical climate","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
people with blood group B or O have a greater resistance to smallpox than do people with blood group A.,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"A hunter-gatherer mother who is shifting camp can carry only one child, along with her few possessions. She cannot afford to bear her next child until the previous toddler can walk fast enough to keep up with the tribe and not hold it back. In practice, nomadic hunter-gatherers space their children about four years apart by means of lactational amenorrhea, sexual abstinence, infanticide, and abortion. By contrast, sedentary people, unconstrained by problems of carrying young children on treks, can bear and raise as many children as they can feed. The birth interval for many farm peoples is around two years, half that of hunter-gatherers. That higher birthrate of food producers, together with their ability to feed more people per acre, lets them achieve much higher population densities than hunter-gatherers.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"food production evolved as a by-product of decisions made without awareness of their consequences. Hence the question that we have to ask is why food production did evolve, why it evolved in some places but not others, why at different times in different places, and why not instead at some earlier or later date. Another","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"Nearly half of all New Guinea languages have fewer than 500 speakers,","Guns, Germs, and Steel",Jared Diamond,[]
"four suggested explanations are ideological, rather than economic or organizational: (1) Risk-taking behavior, essential for efforts at innovation, is more widespread in some societies than in others. (2) The scientific outlook is a unique feature of post-Renaissance European society that has contributed heavily to its modern technological preeminence. (3) Tolerance of diverse views and of heretics fosters innovation, whereas a strongly traditional outlook (as in China’s emphasis on ancient Chinese classics) stifles it. (4) Religions vary greatly in their relation to technological innovation: some branches of Judaism and Christianity are claimed to be especially compatible with it, while some branches of Islam, Hinduism, and Brahmanism may be especially incompatible with it.","Guns, Germs, and Steel",Jared Diamond,[]
"African and European skulls of half a million years ago were sufficiently similar to skulls of us moderns that they are classified in our species, Homo sapiens, instead","Guns, Germs, and Steel",Jared Diamond,[]
"Increasingly today, archaeologists are circumventing this problem by a new technique termed accelerator mass spectrometry, which permits radiocarbon dating of tiny samples and thus lets one directly date a single small seed, small bone, or other food residue. In some cases big differences have been found between recent radiocarbon dates based on the direct new methods (which have their own problems) and those based on the indirect older ones.","Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,[]
"half of its carbon 14 content decays into nitrogen 14 every 5,700 years, until","Guns, Germs, and Steel",Jared Diamond,[]
"For example, missionary linguists are working on modified Roman alphabets for hundreds of New Guinea and Native American languages. Government linguists devised the modified Roman alphabet adopted in 1928 by Turkey for writing Turkish, as well as the modified Cyrillic alphabets designed for many tribal languages of Russia. In a few cases, we also know something about the individuals who designed writing systems by blueprint copying in the remote past. For instance, the Cyrillic alphabet itself (the one still used today in Russia) is descended from an adaptation of Greek and Hebrew letters devised by Saint Cyril, a Greek missionary to the Slavs in the ninth century A.D. The first preserved texts for any Germanic language (the language family that includes English) are in the Gothic alphabet created by Bishop Ulfilas, a missionary living with the Visigoths in what is now Bulgaria in the fourth century A.D. Like Saint Cyril’s invention, Ulfilas’s alphabet was a mishmash of letters borrowed from different sources: about 20 Greek letters, about five Roman letters, and two letters either taken from the runic alphabet or invented by Ulfilas himself. Much","Guns, Germs, and Steel",Jared Diamond,[]
"(1) Risk-taking behavior, essential for efforts at innovation, is more widespread in some societies than in others. (2) The scientific outlook is a unique feature of post-Renaissance European society that has contributed heavily to its modern technological preeminence. (3) Tolerance of diverse views and of heretics fosters innovation, whereas a strongly traditional outlook (as in China’s emphasis on ancient Chinese classics) stifles it. (4) Religions vary greatly in their relation to technological innovation: some branches of Judaism and Christianity are claimed to be especially compatible with it, while some branches of Islam, Hinduism, and Brahmanism may be especially incompatible with it.","Guns, Germs, and Steel",Jared Diamond,[]
