quoteText,bookTitle,bookAuthor,tags
"Most discoveries become imaginable at a very specific moment in history, after which point multiple people start to imagine them.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"Johannes Gutenberg’s printing press created a surge in demand for spectacles, as the new practice of reading made Europeans across the continent suddenly realize that they were farsighted; the market demand for spectacles encouraged a growing number of people to produce and experiment with lenses, which led to the invention of the microscope, which shortly thereafter enabled us to perceive that our bodies were made up of microscopic cells. You wouldn’t think that printing technology would have anything to do with the expansion of our vision down to the cellular scale, just as you wouldn’t have thought that the evolution of pollen would alter the design of a hummingbird’s wing. But that is the way change happens.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"The march of technology expands the space of possibility around us, but how we explore that space is up to us.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"The larger question is, as virologist Jonas Salk once asked, ""Are we being good ancestors?",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,"['heritage', 'legacy', 'perspective']"
"Innovations usually begin life with an attempt to solve a specific problem, but once they get into circulation, they end up triggering other changes that would have been extremely difficult to predict.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"The garage is the space for the hacker, the tinkerer, the maker. The garage is not defined by a single field or industry; instead, it is defined by the eclectic interests of its inhabitants. It is a space where intellectual networks converge.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,"['innovation', 'invention']"
Humans had proven to be unusually good at learning to recognize visual patterns; we internalize our alphabets so well we don’t even have to think about reading once we’ve learned how to do it.,How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"Every genuinely new technology has a genuinely new way of breaking – and every now and then, those malfunctions open a new door to the adjacent possible. Sometimes the way a new technology breaks is almost as interesting as the way it works.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,"['creativity', 'critical-thinking', 'randomness']"
"A world without glass would strike at the foundation of modern progress: the extended lifespans that come from understanding the cell, the virus, and the bacterium; the genetic knowledge of what makes us human; the astronomer's knowledge of our place in the universe. No material on Earth mattered more to those conceptual breakthroughs than glass.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,"['perspective', 'technology']"
"If we think that innovation comes from a lone genius inventing a new technology from scratch, that model naturally steers us toward certain policy decisions, like stronger patent protection. But if we think that innovation comes out of collaborative networks, then we want to support different policies and organizational forms: less rigid patent laws, open standards, employee participation in stock plans, cross-disciplinary connections.",How We Got to Now: Six Innovations that Made the Modern World,Steven Johnson,[]
"This may be one of the most astonishing, and tragic, hummingbird effects in all of twentieth-century technology: someone builds a machine to listen to sound waves bouncing off icebergs, and a few generations later, millions of female fetuses are aborted thanks to that very same technology.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"If the economy doesn’t grow, and the pie therefore remains the same size, you can give more to the poor only by taking something from the rich. That will force you to make some very hard choices, and will probably cause a lot of resentment and even violence. If you wish to avoid hard choices, resentment and violence, you need a bigger pie. […] Economic growth has thus become the crucial juncture where almost all modern religions, ideologies and movements meet.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,"['economic-growth', 'modernity']"
"The time travelers are usually adapt at ""intercrossing"" different fields of expertise. That's the beauty of the hobbyist: it's generally easier to mix different intellectual fields when you have a whole array of them littering your study or your garage.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,['curiosity']
"If you worked for an hour at the average wage of 1800, you could buy yourself ten minutes of artificial light. With kerosene in 1880, the same hour of work would give you three hours of reading at night. Today, you can buy three hundred days of artificial light with an hour of wages. Something extraordinary obviously happened between the days of tallow candles or kerosene lamps and today’s illuminated wonderland. That something was the electric lightbulb.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"Aided by the young George Pullman, who would later make a fortune building railway cars, Chesbrough launched one of the most ambitious engineering projects of the nineteenth century. Building by building, Chicago was lifted by an army of men with jackscrews. As the jackscrews raised the buildings inch by inch, workmen would dig holes under the building foundations and install thick timbers to support them, while masons scrambled to build a new footing under the structure. Sewer lines were inserted beneath buildings with main lines running down the center of streets, which were then buried in landfill that had been dredged out of the Chicago River, raising the entire city almost ten feet on average. Tourists walking around downtown Chicago today regularly marvel at the engineering prowess on display in the city’s spectacular skyline; what they don’t realize is that the ground beneath their feet is also the product of brilliant engineering.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"The lightbulb was the kind of innovation that comes together over decades, in pieces. There was no lightbulb moment in the story of the lightbulb.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"...if your great-great-great-grandfather wanted to read his book after dark, some poor soul had to crawl around in a whale’s head for an afternoon.",How We Got to Now: Six Innovations That Made the Modern World,steven johnson,"['artificial-light', 'innovation']"
"Most discoveries become imaginable at a very specific moment in history, after which point multiple people start to imagine them. The electric battery, the telegraph, the steam engine, and the digital music library were all independently invented by multiple individuals in the space of a few years.",How We Got to Now: Six Innovations that Made the Modern World,Steven Johnson,[]
"Life has no script, no playwright, no director, no producer - and no meaning. To the best of our scientific understanding, the universe is a blind and purposeless process, full of sound and fury but signifying nothing. During our infinitesimally brief stay on our tiny speck of a planet, we fret and strut this way and that, and then are heard of no more... terrible things might befall us and no power will come to save us or give meaning to our suffering. There won't be a happy ending, or a bad ending, or any ending at all. Things just happen, one after the other.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,"['life', 'life-meaning', 'meaning-of-life', 'meaning-of-life-quotes', 'meaningless']"
"Like every big idea, Birdseye’s breakthrough was not a single insight, but a network of other ideas, packaged together in a new configuration. What made Birdseye’s idea so powerful was not simply his individual genius, but the diversity of places and forms of expertise that he brought together.",How We Got to Now: Six Innovations that Made the Modern World,Steven Johnson,[]
"Every time you glance down at your smartphone to check your location, you are unwittingly consulting a network of twenty-four atomic clocks housed in satellites in low-earth orbit above you.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"There was no lightbulb moment in the story of the lightbulb. By the time Edison flipped the switch at the Pearl Street station, a handful of other firms were already selling their own models of incandescent electric lamps.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"today there are more than three billion people around the world who lack access to clean drinking water and basic sanitation systems. In absolute numbers, we have gone backward as a species.",How We Got to Now: Six Innovations That Made the Modern World,Steven Johnson,[]
"We see, then, that the self too is an imaginary story, just like nations, gods and money. Each of us has a sophisticated system that throws away most of our experiences, keeps only a few choice samples, mixes them up with bits from movies we saw, novels we read, speeches we heard, and from our own daydreams, and weaves out of all that jumble a seemingly coherent story about who I am, where I came from and where I am going. This story tells me what to love, whom to hate and what to do with myself. This story may even cause me to sacrifice my life, if that’s what the plot requires. We all have our genre. Some people live a tragedy, others inhabit a never-ending religious drama, some approach life as if it were an action film, and not a few act as if in a comedy. But in the end, they are all just stories.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,[]
"History provides ample evidence for the crucial importance of large-scale cooperation. Victory almost invariably went to those who cooperated better - not only in struggles between Homo sapiens and other animals, but also in conflicts between different human groups. Thus Rome conquered Greece not because the Romans had larger brains or better toolmaking techniques, but because they were able to cooperate more effectively. Throughout history, disciplined armies easily routed disorganised hordes, and unified elites dominated the disorderly masses.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,"['cooperation', 'history', 'victory']"
"During our infinitesimally brief stay on our tiny speck of a planet, we fret and strut this way, and then are heard of no more.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,[]
"When examining the history of any human network, it is therefore advisable to stop from time to time and look at things from the perspective of some real entity. How do you know if an entity is real? Very simple – just ask yourself, ‘Can it suffer?’ When people burn down the temple of Zeus, Zeus doesn’t suffer. When the euro loses its value, the euro doesn’t suffer. When a bank goes bankrupt, the bank doesn’t suffer. When a country suffers a defeat in war, the country doesn’t really suffer. It’s just a metaphor. In contrast, when a soldier is wounded in battle, he really does suffer. When a famished peasant has nothing to eat, she suffers. When a cow is separated from her newborn calf, she suffers. This is reality.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,['suffering']
"Hindu Brahmins insisted that they were naturally smarter than everyone else, but this was pure fiction.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,"['caste', 'hinduism']"
"We have more choice than ever before, but no matter what we choose, we have lost the ability to really pay attention to it.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,"['attention', 'attention-span', 'choice', 'distraction', 'modernity']"
"I think that the War has given to everyone a chance to ‘get out of himself’,",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,[]
"Every time the narrating self evaluates our experiences, it discounts their duration and adopts the `peak-end rule` — it remembers only the peak moment and the end moment, and assesses the whole experience according to their average. This has far-reaching impact on all our practical decisions.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,['kahneman']
"Most of us identify with our narrating self. When we say ‘I’, we mean the story in our head, not the onrushing stream of experiences we undergo. We identify with the inner system that takes the crazy chaos of life and spins out of it seemingly logical and consistent yarns. It doesn’t matter that the plot is full of lies and lacunas, and is rewritten again and again, so that today’s story contradicts yesterday’s. The important thing is that we always retain the feeling that we have a single unchanging identity from birth to death (and perhaps even beyond). This gives rise to the questionable liberal belief that I am an individual, and that I possess a clear and consistent inner voice that provides meaning to the universe.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,[]
"What would happen, wonders Borges, if due to his belief in these fantasies, Don Quixote attacks and kills a real person? Borges asks a fundamental question about the human condition: what happens when the yarn spun by our narrating self causes grievous harm to ourselves or those around us? There are three main possibilities, says Borges.",Homo Deus A Brief History of Tomorrow By Yuval Noah Harari & How We Got to Now Six Innovations that Made the Modern World By Steven Johnson 2 Books Collection Set,Yuval Noah Harari,[]
