quoteText,bookTitle,bookAuthor,tags
"History reports that the men who can manage men manage the men who can manage only things, and the men who can manage money manage all.",The Lessons of History,Will Durant,[]
"you can’t fool all the people all the time,” but you can fool enough of them to rule a large country.",The Lessons of History,Will Durant,[]
"In progressive societies the concentration[of wealth] may reach a point where the strength of number in the many poor rivals the strength of ability in the few rich; then the unstable equilibrium generates a critical situation, which history has diversely met by legislation redistributing wealth or by revolution distributing poverty.",The Lessons of History,Will Durant,"['capitalism', 'socialism', 'wealth']"
"The present is the past rolled up for action, and the past is the present unrolled for understanding.",The Lessons of History,Ariel Durant,['history']
"The fear of capitalism has compelled socialism to widen freedom, and the fear of socialism has compelled capitalism to increase equality. East is West and West is East, and soon the twain will meet.",The Lessons of History,Will Durant,[]
"In the last 3,421 years of recorded history only 268 have seen no war.",The Lessons of History,Will Durant,[]
"Most history is guessing, and the rest is prejudice.",The Lessons of History,Will Durant,[]
"The only real revolution is in the enlightenment of the mind and the improvement of character, the only real emancipation is individual, and the only real revolutionists are philosophers and saints.",The Lessons of History,Will Durant,[]
"It is not the race that makes the civilization, it is the civilization that makes the people: circumstances geographical, economic, and political create a culture, and the culture creates a human type.",The Lessons of History,Will Durant,[]
"We frolic in our emancipation from theology, but have we developed a natural ethic—a moral code independent of religion—strong enough to keep our instincts of acquisition, pugnacity, and sex from debasing our civilization into a mire of greed, crime, and promiscuity? Have we really outgrown intolerance, or merely transferred it from religious to national, ideological, or racial hostilities?",The Lessons of History,Will Durant,[]
"We must operate with partial knowledge, and be provisionally content with probabilities.",The Lessons of History,Ariel Durant,['life']
"Normally and generally men are judged by their ability to produce—except in war, when they are ranked according to their ability to destroy.",The Lessons of History,Will Durant,[]
"When the universe has crushed him man will still be nobler than that which kills him, because he knows that he is dying, and of its victory the universe knows nothing.",The Lessons of History,Will Durant,[]
One of the lessons of history is that the gods can be silent in many languages.,The Story of Civilization,Will Durant,['philosophy']
"History is, above all else, the creation and recording of that heritage; progress is its increasing abundance, preservation, transmission, and use. To those of us who study history not merely as a warning reminder of man’s follies and crimes, but also as an encouraging remembrance of generative souls, the past ceases to be a depressing chamber of horrors; it becomes a celestial city, a spacious country of the mind, wherein a thousand saints, statesmen, inventors, scientists, poets, artists, musicians, lovers, and philosophers still live and speak, teach and carve and sing. The historian will not mourn because he can see no meaning in human existence except that which man puts into it; let it be our pride that we ourselves may put meaning into our lives, and sometimes a significance that transcends death. If a man is fortunate he will, before he dies, gather up as much as he can of his civilized heritage and transmit it to his children. And to his final breath he will be grateful for this inexhaustible legacy, knowing that it is our nourishing mother and our lasting life.",The Lessons of History,Will Durant,['philosophy']
"Our knowledge of any past event is always incomplete, probably inaccurate, beclouded by ambivalent evidence and biased historians, and perhaps distorted by our own patriotic or religious partisanship. “Most history is guessing, and the rest is prejudice.",The Lessons of History,Will Durant,[]
"The present is the past rolled up for action, and the past is the present unrolled for understanding",The Lessons of History,Will Durant,[]
"If race or class war divides us into hostile camps, changing political argument into blind hate, one side or the other may overturn the hustings with the rule of the sword. If our economy of freedom fails to distribute wealth as ably as it has created it, the road to dictatorship will be open to any man who can persuasively promise security to all; and a martial government, under whatever charming phrases, will engulf the democratic world.",The Lessons of History,Will Durant,[]
Animals eat one another without qualm; civilized men consume one another by due process of law. Co-operation,The Lessons of History,Will Durant,[]
So the conservative who resists change is as valuable as the radical who proposes it—perhaps as much more valuable as roots are more vital than grafts.,The Lessons of History,Will Durant,[]
"Economic development specializes functions, differentiates abilities, and makes men unequally valuable to their group.",The Lessons of History,Will Durant,[]
"Generally religion and puritanism prevail in periods when the laws are feeble and morals must bear the burden of maintaining social order; skepticism and paganism (other factors being equal) progress as the rising power of law and government permits the decline of the church, the family, and morality without basically endangering the stability of the state.",The Lessons of History,Will Durant,[]
"[...] violent revolutions do not so much redistribute wealth as destroy it. There may be a redivision of the land, but the natural inequality of men soon re-creates an inequality of possessions and privileges, and raises to power a new minority with essentially the same instincts as in the old. The only real revolution is in the enlightenment of the mind and the improvement of character, the only real emancipation is individual, and the only real revolutionists are philosophers and saints.",The Lessons of History,Will Durant,[]
"it was fear that first made the gods”25 —fear of hidden forces in the earth, rivers, oceans, trees, winds, and sky. Religion became the propitiatory worship of these forces through offerings, sacrifice, incantation, and prayer.",The Lessons of History,Will Durant,[]
"The historian always oversimplifies, and hastily selects a manageable minority of facts and faces out of a crowd of souls and events whose multitudinous complexity he can never quite embrace or comprehend.",The Lessons of History,Will Durant,[]
"Utopias of equality are biologically doomed, and the best that the amiable philosopher can hope for is an approximate equality of legal justice and educational opportunity. A",The Lessons of History,Will Durant,[]
"The influence of geographic factors diminishes as technology grows. The character and contour of a terrain may offer opportunities for agriculture, mining, or trade, but only the imagination and initiative of leaders, and the hardy industry of followers, can transform the possibilities into fact...Man, not the earth, makes civilization.",The Lessons of History,Ariel Durant,['life']
History in the large is the conflict of minorities; the majority applauds the victor and supplies the human material of social experiment.,The Lessons of History,Will Durant,[]
"So the first biological lesson of history is that life is competition. Competition is not only the life of trade, it is the trade of life—peaceful when food abounds, violent when the mouths outrun the food. Animals eat one another without qualm; civilized men consume one another by due process of law. Co-operation is real, and increases with social development, but mostly because it is a tool and form of competition; we co-operate in our group—our family, community, club, church, party, “race,” or nation—in order to strengthen our group in its competition with other groups. Competing groups have the qualities of competing individuals: acquisitiveness, pugnacity, partisanship, pride. Our states, being ourselves multiplied, are what we are; they write our natures in bolder type, and do our good and evil on an elephantine scale. We are acquisitive, greedy, and pugnacious because our blood remembers millenniums through which our forebears had to chase and fight and kill in order to survive, and had to eat to their gastric capacity for fear they should not soon capture another feast. War is a nation’s way of eating. It promotes co-operation because it is the ultimate form of competition. Until our states become members of a large and effectively protective group they will continue to act like individuals and families in the hunting stage.",The Lessons of History,Will Durant,[]
"centripetal organization unifying a culture in all its phases into a unique, coherent, and artistic form; the other a period of centrifugal disorganization in which creed and culture decompose in division and criticism, and end in a chaos of individualism, skepticism, and artistic aberrations.",The Lessons of History,Will Durant,[]
"We conclude that the concentration of wealth is natural and inevitable, and is periodically alleviated by violent or peaceable partial redistribution. In this view all economic history is the slow heartbeat of the social organism, a vast systole and diastole of concentrating wealth and compulsive recirculation.",The Lessons of History,Will Durant,"['durant', 'economics', 'history']"
The second biological lesson of history is that life is selection. In the competition for food or mates or power some organisms succeed and some fail. In the struggle for existence some individuals are better equipped than others to meet the tests of survival.,The Lessons of History,Will Durant,[]
"The third biological lesson of history is that life must breed. Nature has no use for organisms, variations, or groups that cannot reproduce abundantly.",The Lessons of History,Will Durant,[]
"Nature smiles at the union of freedom and equality in our utopias. For freedom and equality are sworn and everlasting enemies, and when one prevails the other dies.",The Lessons of History,Will Durant,[]
Until our states become members of a large and effectively protective group they will continue to act like individuals and families in the hunting stage.,The Lessons of History,Will Durant,[]
"Inequality is not only natural and inborn, it grows with the complexity of civilization.",The Lessons of History,Will Durant,[]
"Pascal: “When the universe has crushed him man will still be nobler than that which kills him, because he knows that he is dying, and of its victory the universe knows nothing.",The Lessons of History,Will Durant,[]
"The root of the greatest errors in philosophy lies in projecting our human purposes, criteria and preferences into the objective universe.",The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,"['good-and-evil', 'philosophy', 'projection', 'spinoza']"
"Ideally parentage should be a privilege of health, not a by-product of sexual agitation. Is",The Lessons of History,Will Durant,[]
"Society is founded not on the ideals but on the nature of man,",The Lessons of History,Will Durant,[]
"New situations, however, do arise, requiring novel, unstereotyped responses; hence development, in the higher organisms, requires a capacity for experiment and innovation—the social correlates of variation and mutation. Social evolution is an interplay of custom with origination. Here the initiative individual—the “great man,” the “hero,” the “genius”—regains his place as a formative force in history. He is not quite the god that Carlyle described; he grows out of his time and land, and is the product and symbol of events as well as their agent and voice; without some situation requiring a new response his new ideas would be untimely and impracticable",The Lessons of History,Will Durant,[]
"So the conservative who resists change is as valuable as the radical who proposes it—perhaps as much more valuable as roots are more vital than grafts. It is good that new ideas should be heard, for the sake of the few that can be used; but it is also good that new ideas should be compelled to go through the mill of objection, opposition, and contumely; this is the trial heat which innovations must survive before being allowed to enter the human race.",The Lessons of History,Will Durant,[]
Man’s sins may be the relics of his rise rather than the stigmata of his fall.,The Lessons of History,Will Durant,[]
"In progressive societies the concentration may reach a point where the strength of number in the many poor rivals the strength of ability in the few rich; then the unstable equilibrium generates a critical situation, which history has diversely met by legislation redistributing wealth or by revolution distributing poverty.",The Lessons of History,Will Durant,[]
"This is the secret of the political history of modern India. Weakened by division, it succumbed to invaders; impoverished by invaders, it lost all power of resistance, and took refuge in supernatural consolations; it argued that both mastery and slavery were superficial delusions, and concluded that freedom of the body or the nation was hardly worth defending in so brief a life. The bitter lesson that may be drawn from this tragedy is that eternal vigilance is the price of civilization. A nation must love peace, but keep its powder dry.",Our Oriental Heritage,Will Durant,[]
"All deductions having been made, democracy has done less harm, and more good, than any other form of government. It gave to human existence a zest and camaraderie that outweighed its pitfalls and defects. It gave to thought and science and enterprise the freedom essential to their operation and growth. It broke down the walls of privilege and class, and in each generation it raised up ability from every rank and place. Under its stimulus Athens and Rome became the most creative cities in history, and America in two centuries has provided abundance for an unprecedentedly large proportion of its population. Democracy has now dedicated itself resolutely to the spread and lengthening of education, and to the maintenance of public health. If equality of educational opportunity can be established, democracy will be real and justified. For this is the vital truth beneath its catchwords: that though men cannot be equal, their access to education and opportunity can be made more nearly equal. The rights of man are not rights to office and power, but the rights of entry into every avenue that may nourish and test a man’s fitness for office and power. A right is not a gift of God or nature but a privilege which it is good for the group that the individual should have.",The Lessons of History,Will Durant,[]
"A knowledge of history may teach us that civilization is a co-operative product, that nearly all peoples have contributed to it; it is our common heritage and debt; and the civilized soul will reveal itself in treating every man or woman, however lowly, as a representative of one of these creative and contributory groups.",The Lessons of History,Will Durant,[]
So the conservative who resists change is as valuable as the radical who proposes it -perhaps as much more valuable as roots are more vital than grafts.,The Lessons of History,Will Durant,[]
"Democracy is the most difficult of all forms of government, since it requires the widest spread of intelligence, and we forgot to make ourselves intelligent when we made ourselves sovereign.",The Lessons of History,Ariel Durant,"['decadence', 'democracy', 'government', 'intelligence']"
