quoteText,bookTitle,bookAuthor,tags
You could never convince a monkey to give you a banana by promising him limitless bananas after death in monkey heaven.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,[]
"How do you cause people to believe in an imagined order such as Christianity, democracy or capitalism? First, you never admit that the order is imagined.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,[]
"Culture tends to argue that it forbids only that which is unnatural. But from a biological perspective, nothing is unnatural. Whatever is possible is by definition also natural. A truly unnatural behaviour, one that goes against the laws of nature, simply cannot exist, so it would need no prohibition.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,[]
"According to Buddhism, the root of suffering is neither the feeling of pain nor of sadness nor even of meaninglessness. Rather, the real root of suffering is this never-ending and pointless pursuit of ephemeral feelings, which causes us to be in a constant state of tension, restlessness and dissatisfaction. Due to this pursuit, the mind is never satisfied. Even when experiencing pleasure, it is not content, because it fears this feeling might soon disappear, and craves that this feeling should stay and intensify. People are liberated from suffering not when they experience this or that fleeting pleasure, but rather when they understand the impermanent nature of all their feelings, and stop craving them. This is the aim of Buddhist meditation practices. In meditation, you are supposed to closely observe your mind and body, witness the ceaseless arising and passing of all your feelings, and realise how pointless it is to pursue them. When the pursuit stops, the mind becomes very relaxed, clear and satisfied. All kinds of feelings go on arising and passing – joy, anger, boredom, lust – but once you stop craving particular feelings, you can just accept them for what they are. You live in the present moment instead of fantasising about what might have been. The resulting serenity is so profound that those who spend their lives in the frenzied pursuit of pleasant feelings can hardly imagine it. It is like a man standing for decades on the seashore, embracing certain ‘good’ waves and trying to prevent them from disintegrating, while simultaneously pushing back ‘bad’ waves to prevent them from getting near him. Day in, day out, the man stands on the beach, driving himself crazy with this fruitless exercise. Eventually, he sits down on the sand and just allows the waves to come and go as they please. How peaceful!",Sapiens: A Brief History of Humankind,Yuval Noah Harari,[]
One of history’s few iron laws is that luxuries tend to become necessities and to spawn new obligations.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,[]
"How many young college graduates have taken demanding jobs in high-powered firms, vowing that they will work hard to earn money that will enable them to retire and pursue their real interests when they are thirty-five? But by the time they reach that age, they have large mortgages, children to school, houses in the suburbs that necessitate at least two cars per family, and a sense that life is not worth living without really good wine and expensive holidays abroad. What are they supposed to do, go back to digging up roots? No, they double their efforts and keep slaving away.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,[]
History is something that very few people have been doing while everyone else was ploughing fields and carrying water buckets.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,[]
"The romantic contrast between modern industry that “destroys nature” and our ancestors who “lived in harmony with nature” is groundless. Long before the Industrial Revolution, Homo sapiens held the record among all organisms for driving the most plant and animal species to their extinctions. We have the dubious distinction of being the deadliest species in the annals of life.",From Animals into Gods: A Brief History of Humankind,Yuval Noah Harari,[]
Money is the most universal and most efficient system of mutual trust ever devised.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,['money-quotes']
This is the essence of the Agricultural Revolution: the ability to keep more people alive under worse conditions.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,[]
"So, monotheism explains order, but is mystified by evil. Dualism explains evil, but is puzzled by order. There is one logical way of solving the riddle: to argue that there is a single omnipotent God who created the entire universe – and He’s evil. But nobody in history has had the stomach for such a belief.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,[]
